Namespace(env_name='SimpleVSS-v0', number=2, random_seed=0, gamma=0.99, batch_size=1024, lr=1e-05, exploration_noise=0.1, polyak=0.995, policy_noise=0.2, noise_clip=0.5, policy_delay=2, max_episodes=10000000000000, max_timesteps=200, save_rate=5000, restore=False, restore_env_name='', restore_num=1, restore_step_k=4731, rl_opponent=False, opponent_prefix='', policy_update_freq=1, multithread=True, device='cpu', render=0, replay='default', replay_max_size=500000.0, env_noise=0, exp_setting='different_opponent')
===============SimpleVSS
Environment initialized
16
Number:2	Episode: 109	Step: 21k	Reward: 6.32	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6778000116348266 
Number:2	Episode: 110	Step: 21k	Reward: -0.64	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6799875259399414 
Number:2	Episode: 111	Step: 21k	Reward: -0.43	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6678762435913086 
Number:2	Episode: 112	Step: 21k	Reward: 4.7	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7157156467437744 
Number:2	Episode: 113	Step: 22k	Reward: 1.46	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7130304574966431 
Number:2	Episode: 114	Step: 22k	Reward: 9.96	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7096833705902099 
Number:2	Episode: 115	Step: 22k	Reward: 34.87	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.712354040145874 
Number:2	Episode: 116	Step: 22k	Reward: 5.85	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7074301481246948 
Number:2	Episode: 117	Step: 22k	Reward: 32.51	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7298726081848145 
Number:2	Episode: 118	Step: 23k	Reward: 7.91	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.719641923904419 
Number:2	Episode: 119	Step: 23k	Reward: 0.88	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7194355249404907 
Number:2	Episode: 120	Step: 23k	Reward: -0.33	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7182317733764648 
Number:2	Episode: 121	Step: 23k	Reward: 9.97	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7246304273605346 
Number:2	Episode: 122	Step: 23k	Reward: 47.84	Goal: 1 	Done Type: done_goal	Epi_step: 68 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 0.6744601964950562 
Number:2	Episode: 123	Step: 23k	Reward: -8.99	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 0.6726167678833008 
Number:2	Episode: 124	Step: 24k	Reward: 13.75	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 0.6811892271041871 
Number:2	Episode: 125	Step: 24k	Reward: 7.85	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 0.6888099193572998 
Number:2	Episode: 126	Step: 24k	Reward: 16.77	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 0.695689582824707 
Number:2	Episode: 127	Step: 24k	Reward: 10.67	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 0.6926125764846802 
Number:2	Episode: 128	Step: 24k	Reward: -37.48	Goal: -1 	Done Type: done_goal	Epi_step: 94 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6617402791976928 
Number:2	Episode: 129	Step: 25k	Reward: -1.31	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6733151197433471 
Number:2	Episode: 130	Step: 25k	Reward: 10.83	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.6986744642257691 
Number:2	Episode: 131	Step: 25k	Reward: 2.84	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7122208118438721 
Number:2	Episode: 132	Step: 25k	Reward: 7.74	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7723674535751343 
Number:2	Episode: 133	Step: 25k	Reward: -6.22	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 0 	Avg_Epi_Time: 0.7986690282821656 
Number:2	Episode: 134	Step: 26k	Reward: -1.81	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 0.8039757251739502 
Number:2	Episode: 135	Step: 26k	Reward: 6.37	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 0.8186051368713378 
Number:2	Episode: 136	Step: 26k	Reward: -1.18	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 0.8164206504821777 
Number:2	Episode: 137	Step: 26k	Reward: -5.51	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 0.8255918264389038 
Number:2	Episode: 138	Step: 26k	Reward: 2.17	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 0.8724523544311523 
Number:2	Episode: 139	Step: 26k	Reward: 2.99	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 1 	Avg_Epi_Time: 0.8621708631515503 
