Namespace(env_name='SimpleVSS-v0', number=3, random_seed=0, gamma=0.99, batch_size=1024, lr=1e-05, exploration_noise=0.1, polyak=0.995, policy_noise=0.2, noise_clip=0.5, policy_delay=2, max_episodes=10000000000000, max_timesteps=200, save_rate=5000, restore=False, restore_env_name='', restore_num=1, restore_step_k=4731, rl_opponent=False, opponent_prefix='', policy_update_freq=1, multithread=True, device='cpu', render=0, replay='proportional_PER', replay_max_size=500000.0, env_noise=0, exp_setting='different_opponent')
===============SimpleVSS
Environment initialized
16
Number:3	Episode: 42	Step: 8k	Reward: 9.5	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.3030266761779785 
Number:3	Episode: 43	Step: 8k	Reward: 0.36	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 2 	Avg_Epi_Time: 1.2975884199142456 
Number:3	Episode: 44	Step: 8k	Reward: 40.92	Goal: 1 	Done Type: done_goal	Epi_step: 43 	Goal_in_100_Epi: 3 	Avg_Epi_Time: 1.1969348430633544 
Number:3	Episode: 45	Step: 8k	Reward: 57.2	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 3 	Avg_Epi_Time: 1.2002951860427857 
Number:3	Episode: 46	Step: 8k	Reward: 32.02	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 3 	Avg_Epi_Time: 1.2100943803787232 
Number:3	Episode: 47	Step: 8k	Reward: 1.75	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 3 	Avg_Epi_Time: 1.229749321937561 
Number:3	Episode: 48	Step: 9k	Reward: 5.44	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 3 	Avg_Epi_Time: 1.2666085481643676 
Number:3	Episode: 49	Step: 9k	Reward: 4.08	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 3 	Avg_Epi_Time: 1.307074522972107 
Number:3	Episode: 50	Step: 9k	Reward: 0.17	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 3 	Avg_Epi_Time: 1.3308786392211913 
Number:3	Episode: 51	Step: 9k	Reward: 60.83	Goal: 1 	Done Type: done_goal	Epi_step: 175 	Goal_in_100_Epi: 4 	Avg_Epi_Time: 1.3452170610427856 
Number:3	Episode: 52	Step: 9k	Reward: 48.37	Goal: 1 	Done Type: done_goal	Epi_step: 48 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.243355131149292 
Number:3	Episode: 53	Step: 9k	Reward: 26.72	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.294877052307129 
Number:3	Episode: 54	Step: 10k	Reward: 2.85	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.396069312095642 
Number:3	Episode: 55	Step: 10k	Reward: -0.47	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.3926878213882445 
Number:3	Episode: 56	Step: 10k	Reward: 2.19	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.402089810371399 
Number:3	Episode: 57	Step: 10k	Reward: 11.6	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.3915685176849366 
Number:3	Episode: 58	Step: 10k	Reward: 5.21	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.3564351558685304 
Number:3	Episode: 59	Step: 11k	Reward: 3.1	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.3466984987258912 
Number:3	Episode: 60	Step: 11k	Reward: 0.09	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.3365233182907104 
Number:3	Episode: 61	Step: 11k	Reward: -1.46	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.3447945594787598 
Number:3	Episode: 62	Step: 11k	Reward: -6.29	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.4296599626541138 
Number:3	Episode: 63	Step: 11k	Reward: 10.57	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.396265697479248 
Number:3	Episode: 64	Step: 12k	Reward: 18.07	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.3987791776657104 

ODE Message 3: LCP internal error, s <= 0 (s=-0.0000e+00)
Number:3	Episode: 65	Step: 12k	Reward: 20.08	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.4097418546676637 
Number:3	Episode: 66	Step: 12k	Reward: -1.12	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.3877492666244506 
Number:3	Episode: 67	Step: 12k	Reward: 11.19	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.478844976425171 
Number:3	Episode: 68	Step: 12k	Reward: -3.24	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.4804066181182862 
Number:3	Episode: 69	Step: 13k	Reward: -6.75	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.4814805507659912 
Number:3	Episode: 70	Step: 13k	Reward: 8.97	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.4886697053909301 
Number:3	Episode: 71	Step: 13k	Reward: 1.3	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.4824677228927612 
Number:3	Episode: 72	Step: 13k	Reward: -1.35	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.5181301832199097 
Number:3	Episode: 73	Step: 13k	Reward: 4.4	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.5099490880966187 
Number:3	Episode: 74	Step: 14k	Reward: -0.65	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.5073312044143676 
Number:3	Episode: 75	Step: 14k	Reward: 9.22	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.496028232574463 
Number:3	Episode: 76	Step: 14k	Reward: 5.38	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.516262459754944 
Number:3	Episode: 77	Step: 14k	Reward: 4.54	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.4128126621246337 
Number:3	Episode: 78	Step: 14k	Reward: -6.23	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.4141466856002807 
Number:3	Episode: 79	Step: 15k	Reward: 6.71	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.3984437942504884 
Number:3	Episode: 80	Step: 15k	Reward: -2.57	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.3903777360916139 
Number:3	Episode: 81	Step: 15k	Reward: 6.68	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.3776990175247192 
Number:3	Episode: 82	Step: 15k	Reward: 27.69	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.355316662788391 
Number:3	Episode: 83	Step: 15k	Reward: 11.92	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.3628063201904297 
Number:3	Episode: 84	Step: 16k	Reward: 0.49	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.379573154449463 
Number:3	Episode: 85	Step: 16k	Reward: -6.08	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.3959365844726563 
Number:3	Episode: 86	Step: 16k	Reward: 17.36	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.399084782600403 
Number:3	Episode: 87	Step: 16k	Reward: 95.17	Goal: 1 	Done Type: done_goal	Epi_step: 115 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.3517303228378297 
Number:3	Episode: 88	Step: 16k	Reward: -3.7	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.3595496654510497 
Number:3	Episode: 89	Step: 17k	Reward: 11.02	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.3645736217498778 
Number:3	Episode: 90	Step: 17k	Reward: 0.93	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.3937265396118164 
Number:3	Episode: 91	Step: 17k	Reward: 1.63	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.4398216485977173 
Number:3	Episode: 92	Step: 17k	Reward: -0.62	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.5507203340530396 
Number:3	Episode: 93	Step: 17k	Reward: 0.8	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.5741313219070434 
Number:3	Episode: 94	Step: 18k	Reward: -6.66	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.5989738941192626 
